DiffIR version=1 fingerprint=0ee902b1528f74aecab75fd2ef96fdd07749f5a4e8e8256524da33d5ca4e761f tensors=363 operations=168
tensor id=1 dtype=bf16 roles=1 shape=512x3072 bytes=3145728
tensor id=2 dtype=bf16 roles=12 shape=512x64 bytes=65536
tensor id=3 dtype=bf16 roles=12 shape=512x64 bytes=65536
tensor id=4 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=5 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=6 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=7 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=8 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=9 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=10 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=11 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=12 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=13 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=14 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=15 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=16 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=17 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=18 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=19 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=20 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=21 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=22 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=23 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=24 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=25 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=26 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=27 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=28 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=29 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=30 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=31 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=32 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=33 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=34 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=35 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=36 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=37 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=38 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=39 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=40 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=41 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=42 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=43 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=44 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=45 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=46 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=47 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=48 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=49 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=50 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
